date,cycle,lead_hour,exists,base,url
2022-06-12,12Z,3,False,https://www.ncei.noaa.gov/thredds/fileServer/noaa-nwm-archive,
2022-06-12,12Z,4,False,https://www.ncei.noaa.gov/thredds/fileServer/model-nwm,
2022-06-12,12Z,4,False,https://www.ncei.noaa.gov/thredds/fileServer/nwm,
2022-06-12,12Z,4,False,https://www.ncei.noaa.gov/thredds/fileServer/noaa-nwm-archive,
2022-06-12,12Z,5,False,https://www.ncei.noaa.gov/thredds/fileServer/model-nwm,
2022-06-12,12Z,5,False,https://www.ncei.noaa.gov/thredds/fileServer/nwm,
2022-06-12,12Z,5,False,https://www.ncei.noaa.gov/thredds/fileServer/noaa-nwm-archive,
2022-06-12,12Z,6,False,https://www.ncei.noaa.gov/thredds/fileServer/model-nwm,
2022-06-12,12Z,6,False,https://www.ncei.noaa.gov/thredds/fileServer/nwm,
2022-06-12,12Z,6,False,https://www.ncei.noaa.gov/thredds/fileServer/noaa-nwm-archive,
2022-06-12,12Z,7,False,https://www.ncei.noaa.gov/thredds/fileServer/model-nwm,
2022-06-12,12Z,7,False,https://www.ncei.noaa.gov/thredds/fileServer/nwm,
2022-06-12,12Z,7,False,https://www.ncei.noaa.gov/thredds/fileServer/noaa-nwm-archive,
2022-06-12,12Z,8,False,https://www.ncei.noaa.gov/thredds/fileServer/model-nwm,
2022-06-12,12Z,8,False,https://www.ncei.noaa.gov/thredds/fileServer/nwm,
2022-06-12,12Z,8,False,https://www.ncei.noaa.gov/thredds/fileServer/noaa-nwm-archive,
2022-06-12,12Z,9,False,https://www.ncei.noaa.gov/thredds/fileServer/model-nwm,
