soil_moisture_vwc,timestamp,hour,doy,month,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,site_name,comid,lat,lon
0.49741423,2025-01-19 16:00:00,16,19,1,-0.8660254037844384,-0.5000000000000004,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.49883473,2025-01-19 17:00:00,17,19,1,-0.9659258262890683,-0.25881904510252063,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4983021,2025-01-19 18:00:00,18,19,1,-1.0,-1.8369701987210297e-16,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.49804008,2025-01-19 19:00:00,19,19,1,-0.9659258262890684,0.2588190451025203,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4957255,2025-01-19 20:00:00,20,19,1,-0.8660254037844386,0.5000000000000001,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.49383116,2025-01-19 21:00:00,21,19,1,-0.7071067811865477,0.7071067811865474,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4922415,2025-01-19 22:00:00,22,19,1,-0.5000000000000004,0.8660254037844384,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4909476,2025-01-19 23:00:00,23,19,1,-0.25881904510252157,0.9659258262890681,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4898119,2025-01-20 00:00:00,0,20,1,0.0,1.0,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4887991,2025-01-20 01:00:00,1,20,1,0.25881904510252074,0.9659258262890683,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48788393,2025-01-20 02:00:00,2,20,1,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48705268,2025-01-20 03:00:00,3,20,1,0.7071067811865475,0.7071067811865476,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4862877,2025-01-20 04:00:00,4,20,1,0.8660254037844386,0.5000000000000001,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4855833,2025-01-20 05:00:00,5,20,1,0.9659258262890683,0.25881904510252074,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.484923,2025-01-20 06:00:00,6,20,1,1.0,6.123233995736766e-17,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48430383,2025-01-20 07:00:00,7,20,1,0.9659258262890683,-0.25881904510252063,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48371673,2025-01-20 08:00:00,8,20,1,0.8660254037844387,-0.49999999999999983,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48317182,2025-01-20 09:00:00,9,20,1,0.7071067811865476,-0.7071067811865475,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48265505,2025-01-20 10:00:00,10,20,1,0.49999999999999994,-0.8660254037844387,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48215985,2025-01-20 11:00:00,11,20,1,0.258819045102521,-0.9659258262890682,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48168933,2025-01-20 12:00:00,12,20,1,1.2246467991473532e-16,-1.0,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4812374,2025-01-20 13:00:00,13,20,1,-0.2588190451025208,-0.9659258262890683,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
